model,model_display,model_origin,condition,condition_family,task,run,total,correct,accuracy,errors,answer_marker_missing,predicted_outside_label_set,truncated,hidden_reasoning,avg_output_tokens,total_output_tokens,total_input_tokens,avg_latency_ms
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,arabic,Afroasiatic,hearsay,0,50,39,0.78,0,2,2,2,0,1091.46,54573,20562,28067.550180023536
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,arabic,Afroasiatic,personal_jurisdiction,0,50,40,0.8,0,0,0,0,0,1059.14,52957,34893,27534.722154643387
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,english,Indo-European,hearsay,0,50,39,0.78,0,3,1,3,0,1025.86,51293,19812,26397.424270436168
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,english,Indo-European,personal_jurisdiction,0,50,41,0.82,0,3,3,3,0,1361.3,68065,34143,35228.40326747857
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,finnish,Uralic,hearsay,0,50,38,0.76,0,3,2,3,0,1273.62,63681,20862,32823.91017193906
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,finnish,Uralic,personal_jurisdiction,0,50,41,0.82,0,1,1,1,0,1096.78,54839,35193,28703.574513476342
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,formal_logic,Abstract,hearsay,0,50,38,0.76,0,2,2,3,0,1420.82,71041,21762,36678.809738345444
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,formal_logic,Abstract,personal_jurisdiction,0,50,46,0.92,0,1,1,3,0,1190.9,59545,36093,30912.097127456218
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,german,Indo-European,hearsay,0,50,37,0.74,0,2,1,3,0,1080.9,54045,20812,28066.839826311916
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,german,Indo-European,personal_jurisdiction,0,50,43,0.86,0,2,1,2,0,1099.96,54998,35143,28737.530103437603
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,mandarin,Sino-Tibetan,hearsay,0,50,40,0.8,0,2,1,2,0,1109.82,55491,20112,28650.38355173543
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,mandarin,Sino-Tibetan,personal_jurisdiction,0,50,43,0.86,0,2,2,4,0,1332.56,66628,34443,34487.08903792314
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,no_cot,Control,hearsay,0,50,35,0.7,0,0,0,0,0,5.0,250,19762,307.93520456179976
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,no_cot,Control,personal_jurisdiction,0,50,29,0.58,0,0,0,0,0,5.0,250,34093,399.887857940048
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,wildcard,Wildcard,hearsay,0,50,43,0.86,0,3,3,3,0,1011.52,50576,22462,26250.775351328775
ollama_qwen35_9b,Ollama local: qwen3.5:9b,local,wildcard,Wildcard,personal_jurisdiction,0,50,40,0.8,0,2,2,2,0,1080.14,54007,36793,28120.627079047263
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,arabic,Afroasiatic,hearsay,0,50,37,0.74,0,0,0,0,0,984.7,49235,20562,46916.191479219124
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,arabic,Afroasiatic,personal_jurisdiction,0,50,47,0.94,0,0,0,0,0,902.94,45147,34893,40484.26757114008
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,english,Indo-European,hearsay,0,50,45,0.9,0,0,0,0,0,832.64,41632,19812,34044.57637902349
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,english,Indo-European,personal_jurisdiction,0,50,46,0.92,0,0,0,0,0,773.56,38678,34143,33686.266002934426
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,finnish,Uralic,hearsay,0,50,38,0.76,0,0,0,0,0,1004.62,50231,20862,48305.087771890685
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,finnish,Uralic,personal_jurisdiction,0,50,45,0.9,0,1,1,1,0,1109.64,55482,35193,56433.19753327407
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,formal_logic,Abstract,hearsay,0,50,38,0.76,0,2,2,2,0,994.02,49701,21762,39297.57084760815
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,formal_logic,Abstract,personal_jurisdiction,0,50,46,0.92,0,1,1,1,0,926.22,46311,36093,36314.470654055476
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,german,Indo-European,hearsay,0,50,38,0.76,0,0,0,0,0,1069.04,53452,20812,48386.068207770586
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,german,Indo-European,personal_jurisdiction,0,50,47,0.94,0,0,0,0,0,1035.22,51761,35143,47465.48683489673
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,mandarin,Sino-Tibetan,hearsay,0,50,37,0.74,0,1,1,1,0,835.66,41783,20112,34656.83729561046
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,mandarin,Sino-Tibetan,personal_jurisdiction,0,50,47,0.94,0,1,1,1,0,976.82,48841,34443,41957.161090383306
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,no_cot,Control,hearsay,0,50,37,0.74,0,0,0,0,0,532.76,26638,19762,22071.679058745503
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,no_cot,Control,personal_jurisdiction,0,50,48,0.96,0,0,0,0,0,603.62,30181,34093,26258.11806583777
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,wildcard,Wildcard,hearsay,0,50,39,0.78,0,2,2,2,0,896.52,44826,22462,35543.38804989122
ollama_qwen38_27b,Ollama local: qwen3.8:27b,local,wildcard,Wildcard,personal_jurisdiction,0,50,49,0.98,0,0,0,0,0,700.0,35000,36793,30561.48343283683
